Epoch,Actor_Loss,Critic_Loss,Regularization_Loss,Reward,Entropy
1,-0.04109761,0.01325032,0.007715086,-0.15697847,-3.1862326
2,-0.035864335,0.00036184673,0.021525614,-0.16907997,-3.1862326
3,-0.009420927,0.000122981,0.024873616,-0.17063908,-3.1862326
4,0.055661198,0.0035056362,0.09873972,-0.052459706,-3.1862326
5,-0.03255509,0.0046270187,0.012685378,-0.14476208,-3.1862326
6,0.05770119,0.0024864178,0.1415572,-0.049034078,-3.1862326
7,0.008960624,0.0009618022,0.046015974,-0.10821053,-3.1862326
8,0.085746884,0.0030436718,0.14570855,-0.0046535814,-3.1862326
9,0.07407484,7.4008414e-05,0.14489223,-0.0065575815,-3.1862326
10,0.065155186,8.850056e-06,0.14643568,-0.005448852,-3.1862326
11,0.09396065,4.1227e-06,0.14576644,-0.0052588866,-3.1862326
12,0.097146265,3.9415936e-06,0.14550656,-0.008087947,-3.1862326
13,0.0574722,0.0011541749,0.083304875,-0.0740606,-3.1862326
14,0.1399952,0.0014112188,0.14654835,-0.0042184438,-3.1862326
15,0.044590313,1.33186595e-05,0.14711165,-0.007221937,-3.1862326
16,0.10346656,5.3742195e-07,0.1460609,-0.0058235195,-3.1862326
17,0.06836004,4.960983e-07,0.14642435,-0.0063787284,-3.1862326
18,0.003320447,4.970554e-07,0.14634372,-0.004972402,-3.1862326
19,0.031272773,3.268957e-07,0.14620711,-0.0061614825,-3.1862326
20,0.19557936,1.4280162e-07,0.14625043,-0.005454726,-3.1862326
